1012404
847630
ANTIHISTAMINES FOR SYSTEMIC USE
ANTIPSYCHOTICS
1511
DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
876193
2380
311668
ANTIEPILEPTICS
ANTIFUNGALS FOR TOPICAL USE
ANTIMYCOTICS FOR SYSTEMIC USE
"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
INTESTINAL ANTIINFECTIVES
"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
ANTIINFECTIVES
OTHER DERMATOLOGICAL PREPARATIONS
POTASSIUM
I.V. SOLUTION ADDITIVES
ANTIEMETICS AND ANTINAUSEANTS
"ADRENERGICS, INHALANTS"
ADRENERGICS FOR SYSTEMIC USE
ANTICHOLINERGIC AGENTS
2691
OTHER ANALGESICS AND ANTIPYRETICS
"CORTICOSTEROIDS, PLAIN"
ANTI-ACNE PREPARATIONS FOR TOPICAL USE
"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
QUINOLONE ANTIBACTERIALS
S03A
462
normal
diastolic_Optimal
systolic_Prehypertension
OTHER GYNECOLOGICALS
"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS"
INTESTINAL ANTIINFLAMMATORY AGENTS
"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS"
580285
overweight
104700
207016
6695
OPIOIDS
"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS"
607038
ESTROGENS
ANTIDEPRESSANTS
CHEMOTHERAPEUTICS FOR TOPICAL USE
1085756
1743855
POTASSIUM-SPARING AGENTS
ANTIMALARIALS
VITAMIN B12 AND FOLIC ACID
OTHER DIAGNOSTIC AGENTS
ANTIGOUT PREPARATIONS
STOMATOLOGICAL PREPARATIONS
AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
"CORTICOSTEROIDS, OTHER COMBINATIONS"
DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS"
ANTIINFLAMMATORY AGENTS
1099569
197891
197889
344
311355
UROLOGICALS
BETA BLOCKING AGENTS
OTHER CARDIAC PREPARATIONS
THROAT PREPARATIONS
"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC."
197893
DRUGS FOR CONSTIPATION
OTHER BETA-LACTAM ANTIBACTERIALS
SULFONAMIDES AND TRIMETHOPRIM
OTHER ANTIBACTERIALS
AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES
"LOW-CEILING DIURETICS, THIAZIDES"
ANTIMETABOLITES
IMMUNOSUPPRESSANTS
ANXIOLYTICS
systolic_Optimal
8782
"ANTIARRHYTHMICS, CLASS I AND III"
"ANESTHETICS, LOCAL"
LOCAL ANESTHETICS
OTHER OTOLOGICALS
203128
ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION
S02B
CORTICOSTEROIDS
483017
1594589
1010751
142436
AMINOGLYCOSIDE ANTIBACTERIALS
IRRIGATING SOLUTIONS
ANTISEPTICS AND DISINFECTANTS
MEDICATED DRESSINGS
1360201
4012609
8275
4006835
4000969
4009814
underweight
817579
161
2231
2670
309462
238243
2559907
203148
804982
1807633
IRON PREPARATIONS
6918
OTHER MINERAL SUPPLEMENTS
2119176
237191
5470
1007544
1807631
71722
1808224
309989
24947
26225
9863
800915
1807639
1807634
8591
747260
800904
82027
36721
142440
1807632
40790
1807627
1807630
HYPNOTICS AND SEDATIVES
10355
866508
221147
253191
203191
267366
899221
82003
857044
2471089
815276
6387
1151
36676
966571
3966
1116294
2623655
91166
1360147
727972
727970
5966
727967
1808225
1737759
1483571
1536
347690
ANTIFUNGALS FOR SYSTEMIC USE
213155
029928
1860100
1359861
1952
450
"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS"
1742
DIRECT ACTING ANTIVIRALS
895999
2991
THYROID PREPARATIONS
"ACE INHIBITORS, PLAIN"
485032
2615
MYDRIATICS AND CYCLOPLEGICS
"BELLADONNA AND DERIVATIVES, PLAIN"
8376
OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
198191
ANTITHROMBOTIC AGENTS
HIGH-CEILING DIURETICS
1248
1257
1359859
1509
461
5218
1424
VITAMIN K AND OTHER HEMOSTATICS
CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
ANTIGLAUCOMA PREPARATIONS AND MIOTICS
538
