ANTIEMETICS AND ANTINAUSEANTS
CHEMOTHERAPEUTICS FOR TOPICAL USE
84990
STOMATOLOGICAL PREPARATIONS
TETRACYCLINES
1005924
"ANTIARRHYTHMICS, CLASS I AND III"
AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC."
"ANESTHETICS, LOCAL"
THROAT PREPARATIONS
LOCAL ANESTHETICS
OTHER OTOLOGICALS
6960
1010751
8782
1234995
1726992
OTHER ANALGESICS AND ANTIPYRETICS
142436
801112
1012396
6922
2551
1362737
"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
OTHER ANTIBACTERIALS
AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES
11248
6205
1151
577208
DRUGS FOR CONSTIPATION
OTHER MINERAL SUPPLEMENTS
I.V. SOLUTION ADDITIVES
OTHER DERMATOLOGICAL PREPARATIONS
OTHER DIAGNOSTIC AGENTS
1010900
OPIOIDS
309335
ANTI-ACNE PREPARATIONS FOR TOPICAL USE
"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
1300368
overweight
diastolic_Optimal
systolic_Optimal
1375948
198042
"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS"
HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE
PROGESTOGENS
"CORTICOSTEROIDS, PLAIN"
"CORTICOSTEROIDS, OTHER COMBINATIONS"
"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
ANTIINFLAMMATORY AGENTS
ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION
S02B
CORTICOSTEROIDS
INTESTINAL ANTIINFECTIVES
IRRIGATING SOLUTIONS
ANTIBIOTICS FOR TOPICAL USE
AMINOGLYCOSIDE ANTIBACTERIALS
ANTIINFECTIVES
S03A
1367436
systolic_Prehypertension
153892
1797933
208161
208149
ANTIDEPRESSANTS
"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS"
normal
1483571
POTASSIUM
966571
104897
1928568
"ADRENERGICS, INHALANTS"
ADRENERGICS FOR SYSTEMIC USE
206886
829757
1872385
992462
1661427
211641
1732011
978009
ANTACIDS
UROLOGICALS
200977
104719
DRUGS USED IN ADDICTIVE DISORDERS
1050490
1807627
OTHER GYNECOLOGICALS
"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
QUINOLONE ANTIBACTERIALS
OTHER BETA-LACTAM ANTIBACTERIALS
INTESTINAL ANTIINFLAMMATORY AGENTS
DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
471
ANTIHISTAMINES FOR SYSTEMIC USE
"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS"
NASAL DECONGESTANTS FOR SYSTEMIC USE
1241
ANTIFUNGALS FOR TOPICAL USE
9863
876193
897653
ANTIEPILEPTICS
